nama,lokasi
wajo,kabupaten
banggai kepulauan,kabupaten
banggai,kabupaten
buol,kabupaten
donggala,kabupaten
morowali,kabupaten
palu,kabupaten
parigi moutong,kabupaten
poso,kabupaten
sigi,kabupaten
tojo una,kabupaten
toli,kabupaten
bau,kabupaten
bombana,kabupaten
buton utara,kabupaten
buton,kabupaten
kendari,kabupaten
kolaka utara,kabupaten
kolaka,kabupaten
konawe selatan,kabupaten
konawe utara,kabupaten
konawe,kabupaten
muna,kabupaten
wakatobi,kabupaten
bitung,kabupaten
bolaang mongondow (bolmong),kabupaten
bolaang mongondow selatan,kabupaten
bolaang mongondow timur,kabupaten
bolaang mongondow utara,kabupaten
kepulauan sangihe,kabupaten
kepulauan siau tagulandang biaro (sitaro),kabupaten
kepulauan talaud,kabupaten
kotamobagu,kabupaten
manado,kabupaten
minahasa selatan,kabupaten
minahasa tenggara,kabupaten
minahasa utara,kabupaten
minahasa,kabupaten
tomohon,kabupaten
agam,kabupaten
bukittinggi,kabupaten
dharmasraya,kabupaten
kepulauan mentawai,kabupaten
lima puluh koto,kabupaten
padang panjang,kabupaten
padang pariaman,kabupaten
padang,kabupaten
pariaman,kabupaten
pasaman barat,kabupaten
pasaman,kabupaten
payakumbuh,kabupaten
pesisir selatan,kabupaten
sawah lunto,kabupaten
sijunjung (sawah lunto sijunjung),kabupaten
solok selatan,kabupaten
solok,kabupaten
tanah datar,kabupaten
banyuasin,kabupaten
empat lawang,kabupaten
lahat,kabupaten
lubuk linggau,kabupaten
muara enim,kabupaten
musi banyuasin,kabupaten
musi rawas,kabupaten
ogan ilir,kabupaten
ogan komering ilir,kabupaten
ogan komering ulu selatan,kabupaten
ogan komering ulu timur,kabupaten
ogan komering ulu,kabupaten
pagar alam,kabupaten
palembang,kabupaten
prabumulih,kabupaten
asahan,kabupaten
batu bara,kabupaten
binjai,kabupaten
dairi,kabupaten
deli serdang,kabupaten
gunungsitoli,kabupaten
humbang hasundutan,kabupaten
karo,kabupaten
labuhan batu selatan,kabupaten
labuhan batu utara,kabupaten
labuhan batu,kabupaten
langkat,kabupaten
mandailing natal,kabupaten
medan,kabupaten
nias barat,kabupaten
nias selatan,kabupaten
nias utara,kabupaten
nias,kabupaten
padang lawas utara,kabupaten
padang lawas,kabupaten
padang sidempuan,kabupaten
pakpak bharat,kabupaten
pematang siantar,kabupaten
samosir,kabupaten
serdang bedagai,kabupaten
sibolga,kabupaten
simalungun,kabupaten
tanjung balai,kabupaten
tapanuli selatan,kabupaten
tapanuli tengah,kabupaten
tapanuli utara,kabupaten
tebing tinggi,kabupaten
toba samosir,kabupaten
kuta selatan,kacamantan
kuta,kacamantan
kuta utara,kacamantan
petang,kacamantan
abiansemal,kacamantan
mengwi,kacamantan
tembuku,kacamantan
susut,kacamantan
kintamani,kacamantan
bangli,kacamantan
tejakula,kacamantan
kubutambahan,kacamantan
sawan,kacamantan
sukasada,kacamantan
gerokgak,kacamantan
busungbiu,kacamantan
seririt,kacamantan
banjar,kacamantan
buleleng,kacamantan
denpasar utara,kacamantan
denpasar timur,kacamantan
denpasar selatan,kacamantan
denpasar barat,kacamantan
sukawati,kacamantan
belah batuh (blahbatuh),kacamantan
payangan,kacamantan
ubud,kacamantan
tegallalang,kacamantan
tampak siring,kacamantan
gianyar,kacamantan
pekutatan,kacamantan
mendoyo,kacamantan
melaya,kacamantan
negara,kacamantan
jembrana,kacamantan
manggis,kacamantan
sidemen,kacamantan
rendang,kacamantan
selat,kacamantan
bebandem,kacamantan
kubu,kacamantan
abang,kacamantan
karang asem,kacamantan
nusapenida,kacamantan
dawan,kacamantan
banjarangkan,kacamantan
klungkung,kacamantan
baturiti,kacamantan
marga,kacamantan
pupuan,kacamantan
selemadeg,kacamantan
selemadeg / salemadeg barat,kacamantan
selemadeg / salamadeg timur,kacamantan
kerambitan,kacamantan
penebel,kacamantan
kediri,kacamantan
tabanan,kacamantan
simpang teritip,kacamantan
tempilang,kacamantan
kelapa,kacamantan
jebus,kacamantan
parittiga,kacamantan
mentok (muntok),kacamantan
lepar pongok,kacamantan
kepulauan pongok,kacamantan
tukak sadai,kacamantan
toboali,kacamantan
air gegas,kacamantan
pulau besar,kacamantan
payung,kacamantan
simpang rimba,kacamantan
pangkalan baru,kacamantan
namang,kacamantan
lubuk besar,kacamantan
koba,kacamantan
sungai selan,kacamantan
simpang katis,kacamantan
pemali,kacamantan
riau silip,kacamantan
belinyu,kacamantan
bakam,kacamantan
sungai liat,kacamantan
puding besar,kacamantan
mendo barat,kacamantan
merawang,kacamantan
kelapa kampit,kacamantan
damar,kacamantan
simpang renggiang,kacamantan
gantung,kacamantan
simpang pesak,kacamantan
dendang,kacamantan
manggar,kacamantan
selat nasik,kacamantan
membalong,kacamantan
badau,kacamantan
tanjung pandan,kacamantan
sijuk,kacamantan
bukit intan,kacamantan
girimaya,kacamantan
rangkui,kacamantan
gerunggang,kacamantan
taman sari,kacamantan
gabek,kacamantan
pangkal balam,kacamantan
ciwandan,kacamantan
citangkil,kacamantan
pulomerak,kacamantan
gerogol,kacamantan
purwakarta,kacamantan
cibeber,kacamantan
cilegon,kacamantan
jombang,kacamantan
wanasalam,kacamantan
cijaku,kacamantan
cigemblong,kacamantan
bayah,kacamantan
cilograng,kacamantan
panggarangan,kacamantan
cihara,kacamantan
malingping,kacamantan
maja,kacamantan
curugbitung,kacamantan
cipanas,kacamantan
lebakgedong,kacamantan
sajira,kacamantan
muncang,kacamantan
bojongmanik,kacamantan
cirinten,kacamantan
leuwidamar,kacamantan
cimarga,kacamantan
cibadak,kacamantan
cikulur,kacamantan
banjarsari,kacamantan
gunung kencana,kacamantan
cileles,kacamantan
warunggunung,kacamantan
rangkasbitung,kacamantan
sobang,kacamantan
kalanganyar,kacamantan
cikeusik,kacamantan
cibaliung,kacamantan
cibitung,kacamantan
cimanggu,kacamantan
sumur,kacamantan
cigeulis,kacamantan
panimbang,kacamantan
angsana,kacamantan
munjul,kacamantan
sindangresmi,kacamantan
picung,kacamantan
bojong,kacamantan
saketi,kacamantan
pulosari,kacamantan
cisata,kacamantan
cipeucang,kacamantan
cikeudal (cikedal),kacamantan
mekarjaya,kacamantan
cimanuk,kacamantan
sukaresmi,kacamantan
pagelaran,kacamantan
patia,kacamantan
labuan,kacamantan
carita,kacamantan
jiput,kacamantan
menes,kacamantan
mandalawangi,kacamantan
kaduhejo,kacamantan
koroncong,kacamantan
cadasari,kacamantan
karang tanjung,kacamantan
pandeglang,kacamantan
majasari,kacamantan
pulo ampel,kacamantan
bojonegara,kacamantan
waringin kurung,kacamantan
binuang,kacamantan
carenang (cerenang),kacamantan
tanara,kacamantan
tirtayasa,kacamantan
pontang,kacamantan
kasemen,kacamantan
cikande,kacamantan
kibin,kacamantan
kragilan,kacamantan
lebak wangi,kacamantan
walantaka,kacamantan
ciruas,kacamantan
kopo,kacamantan
jawilan,kacamantan
pamarayan,kacamantan
bandung,kacamantan
cikeusal,kacamantan
tunjung teja,kacamantan
baros,kacamantan
petir,kacamantan
curug,kacamantan
padarincang,kacamantan
cinangka,kacamantan
anyar,kacamantan
mancak,kacamantan
ciomas,kacamantan
pabuaran,kacamantan
gunungsari,kacamantan
taktakan,kacamantan
kramatwatu,kacamantan
cipocok jaya,kacamantan
serang,kacamantan
